# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
5.012531328320801727e-02,-4.949748743718592747e-01,5.850910057252607918e-12
1.002506265664160345e-01,-4.899497487437186050e-01,3.604907506809664636e-12
1.503759398496240518e-01,-4.849246231155778797e-01,4.427909955935736432e-12
2.005012531328320691e-01,-4.798994974874372099e-01,4.717900051111046087e-12
2.506265664160400863e-01,-4.748743718592964846e-01,5.692590224173759871e-12
3.007518796992481036e-01,-4.698492462311557594e-01,6.657562612479144437e-12
3.508771929824561209e-01,-4.648241206030150896e-01,8.042515532673677991e-12
4.010025062656641381e-01,-4.597989949748743643e-01,9.642522279571400422e-12
4.511278195488721554e-01,-4.547738693467336946e-01,1.167776395814863091e-11
5.012531328320801727e-01,-4.497487437185929693e-01,1.411751775114432089e-11
5.513784461152881899e-01,-4.447236180904522440e-01,1.712717156272093650e-11
6.015037593984962072e-01,-4.396984924623115742e-01,2.077191867413138589e-11
6.516290726817042245e-01,-4.346733668341708490e-01,2.522640482936612866e-11
7.017543859649122417e-01,-4.296482412060301792e-01,3.063702218668193039e-11
7.518796992481202590e-01,-4.246231155778894539e-01,3.722914762311577162e-11
8.020050125313282763e-01,-4.195979899497487287e-01,4.524340448891422987e-11
8.521303258145362935e-01,-4.145728643216080589e-01,5.499683121822058878e-11
9.022556390977443108e-01,-4.095477386934673336e-01,6.685747785723584516e-11
9.523809523809523281e-01,-4.045226130653266639e-01,8.128588179638526475e-11
1.002506265664160345e+00,-3.994974874371859386e-01,9.883273369715503587e-11
1.052631578947368363e+00,-3.944723618090452133e-01,1.201747538063167207e-10
1.102756892230576380e+00,-3.894472361809044880e-01,1.461298000188421707e-10
1.152882205513784397e+00,-3.844221105527638183e-01,1.776963558675118069e-10
1.203007518796992414e+00,-3.793969849246231485e-01,2.160858654847536217e-10
1.253132832080200432e+00,-3.743718592964824232e-01,2.627737590354056756e-10
1.303258145363408449e+00,-3.693467336683416979e-01,3.195527579560508084e-10
1.353383458646616466e+00,-3.643216080402009727e-01,3.886042572698720202e-10
1.403508771929824483e+00,-3.592964824120603029e-01,4.725802100112690335e-10
1.453634085213032501e+00,-3.542713567839196331e-01,5.747064213450872345e-10
1.503759398496240518e+00,-3.492462311557789079e-01,6.989053626023115805e-10
1.553884711779448535e+00,-3.442211055276381826e-01,8.499476500674641496e-10
1.604010025062656553e+00,-3.391959798994974573e-01,1.033634653684320465e-09
1.654135338345864570e+00,-3.341708542713567875e-01,1.257021789648700095e-09
1.704260651629072587e+00,-3.291457286432161178e-01,1.528689141395458363e-09
1.754385964912280604e+00,-3.241206030150753925e-01,1.859071273648345587e-09
1.804511278195488622e+00,-3.190954773869346672e-01,2.260857775553172176e-09
1.854636591478696639e+00,-3.140703517587939420e-01,2.749480780555606942e-09
1.904761904761904656e+00,-3.090452261306532722e-01,3.343707516319390320e-09
1.954887218045112673e+00,-3.040201005025125469e-01,4.066361135582014409e-09
2.005012531328320691e+00,-2.989949748743718771e-01,4.945197121197852897e-09
2.055137844611528486e+00,-2.939698492462311519e-01,6.013969192963582556e-09
2.105263157894736725e+00,-2.889447236180904266e-01,7.313725393812341928e-09
2.155388471177944965e+00,-2.839195979899497568e-01,8.894384262145295402e-09
2.205513784461152760e+00,-2.788944723618090316e-01,1.081665141930343409e-08
2.255639097744360555e+00,-2.738693467336683618e-01,1.315435016783976438e-08
2.305764411027568794e+00,-2.688442211055276365e-01,1.599725538010977341e-08
2.355889724310777034e+00,-2.638190954773869112e-01,1.945453931544087616e-08
2.406015037593984829e+00,-2.587939698492462415e-01,2.365896131540242680e-08
2.456140350877192624e+00,-2.537688442211055162e-01,2.877196177011511149e-08
2.506265664160400863e+00,-2.487437185929648464e-01,3.498985516880086932e-08
2.556390977443609103e+00,-2.437185929648241212e-01,4.255135892064865676e-08
2.606516290726816898e+00,-2.386934673366833959e-01,5.174674530670208197e-08
2.656641604010024693e+00,-2.336683417085427261e-01,6.292896544918837398e-08
2.706766917293232932e+00,-2.286432160804020008e-01,7.652716863481283420e-08
2.756892230576441172e+00,-2.236180904522612756e-01,9.306313047754587241e-08
2.807017543859648967e+00,-2.185929648241206058e-01,1.131712123194787282e-07
2.857142857142856762e+00,-2.135678391959798805e-01,1.376226058690755875e-07
2.907268170426065002e+00,-2.085427135678392108e-01,1.673547755297189301e-07
2.957393483709273241e+00,-2.035175879396984855e-01,2.035072016394474975e-07
3.007518796992481036e+00,-1.984924623115577602e-01,2.474647565799239803e-07
3.057644110275688831e+00,-1.934673366834170904e-01,3.009103194020559459e-07
3.107769423558897071e+00,-1.884422110552763652e-01,3.658885606477484024e-07
3.157894736842105310e+00,-1.834170854271356954e-01,4.448832155676687358e-07
3.208020050125313105e+00,-1.783919597989949701e-01,5.409106193545680576e-07
3.258145363408520900e+00,-1.733668341708542449e-01,6.576328102651405517e-07
3.308270676691729140e+00,-1.683417085427135751e-01,7.994941220780010321e-07
3.358395989974937379e+00,-1.633165829145728498e-01,9.718858894995306059e-07
3.408521303258145174e+00,-1.582914572864321801e-01,1.181344675956119336e-06
3.458646616541352969e+00,-1.532663316582914548e-01,1.435790289513967850e-06
3.508771929824561209e+00,-1.482412060301507295e-01,1.744810749183597073e-06
3.558897243107769448e+00,-1.432160804020100597e-01,2.120002244020746079e-06
3.609022556390977243e+00,-1.381909547738693345e-01,2.575372893953774952e-06
3.659147869674185038e+00,-1.331658291457286647e-01,3.127819616657045094e-06
3.709273182957393278e+00,-1.281407035175879394e-01,3.797687383264400644e-06
3.759398496240601517e+00,-1.231155778894472141e-01,4.609419235683213250e-06
3.809523809523809312e+00,-1.180904522613065444e-01,5.592303092624308607e-06
