# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
1.005025125628140753e-01,-4.898989898989898895e-01,5.041339965556803527e-12
2.010050251256281506e-01,-4.797979797979797789e-01,4.445920396992142214e-12
3.015075376884422398e-01,-4.696969696969697239e-01,6.626186481662822346e-12
4.020100502512563012e-01,-4.595959595959596133e-01,9.244583749730243718e-12
5.025125628140704181e-01,-4.494949494949495028e-01,1.366072496208858833e-11
6.030150753768844796e-01,-4.393939393939393923e-01,2.001508900440613053e-11
7.035175879396985410e-01,-4.292929292929292817e-01,2.961374278697833922e-11
8.040201005025126024e-01,-4.191919191919191712e-01,4.376530461707762676e-11
9.045226130653266639e-01,-4.090909090909090606e-01,6.481345200111130039e-11
1.005025125628140836e+00,-3.989898989898990056e-01,9.597407430969469458e-11
1.105527638190954898e+00,-3.888888888888888951e-01,1.421874682549522007e-10
1.206030150753768959e+00,-3.787878787878787845e-01,2.106574873206954964e-10
1.306532663316583021e+00,-3.686868686868686740e-01,3.121416235304016834e-10
1.407035175879397082e+00,-3.585858585858585634e-01,4.625244289418878868e-10
1.507537688442211143e+00,-3.484848484848485084e-01,6.853858405460803683e-10
1.608040201005025205e+00,-3.383838383838383423e-01,1.015639826473344914e-09
1.708542713567839266e+00,-3.282828282828282873e-01,1.505045881608150923e-09
1.809045226130653328e+00,-3.181818181818181768e-01,2.230290300644007102e-09
1.909547738693467389e+00,-3.080808080808080662e-01,3.305023695033465915e-09
2.010050251256281673e+00,-2.979797979797979557e-01,4.897652934244152014e-09
2.110552763819095734e+00,-2.878787878787878451e-01,7.257738250125329095e-09
2.211055276381909795e+00,-2.777777777777777901e-01,1.075508198291812877e-08
2.311557788944723857e+00,-2.676767676767676241e-01,1.593766250453812141e-08
2.412060301507537918e+00,-2.575757575757575690e-01,2.361745153448714065e-08
2.512562814070351980e+00,-2.474747474747474585e-01,3.499755004958156551e-08
2.613065326633166041e+00,-2.373737373737373479e-01,5.186048110606690856e-08
2.713567839195980103e+00,-2.272727272727272374e-01,7.684700256271348129e-08
2.814070351758794164e+00,-2.171717171717171269e-01,1.138687846011438977e-07
2.914572864321608225e+00,-2.070707070707070718e-01,1.687188840990464143e-07
3.015075376884422287e+00,-1.969696969696969613e-01,2.499740465046458389e-07
3.115577889447236348e+00,-1.868686868686868507e-01,3.703266619494700604e-07
3.216080402010050410e+00,-1.767676767676767402e-01,5.485472718323774496e-07
3.316582914572864471e+00,-1.666666666666666297e-01,8.123680391771266013e-07
3.417085427135678533e+00,-1.565656565656565191e-01,1.202701631407607319e-06
3.517587939698492594e+00,-1.464646464646464086e-01,1.779775141582166190e-06
3.618090452261306655e+00,-1.363636363636363535e-01,2.631963381337518913e-06
3.718592964824120717e+00,-1.262626262626262430e-01,3.888324031691690636e-06
3.819095477386934778e+00,-1.161616161616161325e-01,5.735982105956924039e-06
3.919597989949748840e+00,-1.060606060606060219e-01,8.443362090793900940e-06
4.020100502512563345e+00,-9.595959595959591137e-02,1.238933133741862547e-05
4.120603015075377407e+00,-8.585858585858580083e-02,1.809562172585435803e-05
4.221105527638191468e+00,-7.575757575757574580e-02,2.625376098461332049e-05
4.321608040201005529e+00,-6.565656565656563526e-02,3.772596033498940271e-05
4.422110552763819591e+00,-5.555555555555552472e-02,5.348094732674521599e-05
4.522613065326633652e+00,-4.545454545454541417e-02,7.440630645103005788e-05
4.623115577889447714e+00,-3.535353535353530363e-02,1.009416705761321197e-04
4.723618090452261775e+00,-2.525252525252519309e-02,1.325495627667548355e-04
4.824120603015075837e+00,-1.515151515151513806e-02,1.672221553760154316e-04
4.924623115577889898e+00,-5.050505050505027516e-03,2.014340477171877683e-04
5.025125628140703959e+00,5.050505050505083027e-03,2.309101861927371146e-04
5.125628140703518021e+00,1.515151515151524908e-02,2.520491805030828703e-04
5.226130653266332082e+00,2.525252525252530411e-02,2.631849210199060864e-04
5.326633165829146144e+00,3.535353535353535914e-02,2.648832606320163400e-04
5.427135678391960205e+00,4.545454545454552520e-02,2.592493296732359463e-04
5.527638190954774267e+00,5.555555555555558023e-02,2.488865013307750996e-04
5.628140703517588328e+00,6.565656565656574628e-02,2.361130704366723443e-04
5.728643216080402389e+00,7.575757575757580131e-02,2.226241586030706064e-04
5.829145728643216451e+00,8.585858585858585634e-02,2.094824514764043958e-04
5.929648241206030512e+00,9.595959595959602240e-02,1.972566941654211453e-04
6.030150753768844574e+00,1.060606060606060774e-01,1.861846478883324660e-04
6.130653266331658635e+00,1.161616161616162435e-01,1.763066054110371819e-04
6.231155778894472697e+00,1.262626262626262985e-01,1.675579626979182993e-04
6.331658291457286758e+00,1.363636363636364646e-01,1.598269700383625534e-04
6.432160804020100819e+00,1.464646464646465196e-01,1.529878461002300439e-04
6.532663316582914881e+00,1.565656565656565746e-01,1.469181626415410279e-04
6.633165829145728942e+00,1.666666666666667407e-01,1.415068803838036564e-04
6.733668341708543004e+00,1.767676767676767957e-01,1.366571629011357125e-04
6.834170854271357065e+00,1.868686868686869618e-01,1.322864699424086503e-04
6.934673366834171127e+00,1.969696969696970168e-01,1.283253727204164223e-04
7.035175879396985188e+00,2.070707070707071829e-01,1.247158844726189389e-04
7.135678391959799249e+00,2.171717171717172379e-01,1.214097182646250257e-04
7.236180904522613311e+00,2.272727272727272929e-01,1.183666679670877136e-04
7.336683417085427372e+00,2.373737373737374590e-01,1.155531905167278106e-04
7.437185929648241434e+00,2.474747474747475140e-01,1.129412063724552864e-04
7.537688442211055495e+00,2.575757575757576801e-01,1.105071056558909687e-04
7.638190954773869557e+00,2.676767676767677351e-01,1.082309353041183061e-04
7.738693467336683618e+00,2.777777777777777901e-01,1.060957393953808526e-04
7.839195979899497679e+00,2.878787878787879562e-01,1.040870260051222852e-04
7.939698492462311741e+00,2.979797979797980112e-01,1.021923370056920430e-04
8.040201005025126690e+00,3.080808080808081773e-01,1.004009008210283408e-04
8.140703517587940752e+00,3.181818181818182323e-01,9.870335164725065882e-05
8.241206030150754813e+00,3.282828282828283983e-01,9.709150176835061998e-05
8.341708542713568875e+00,3.383838383838384534e-01,9.555815624573837529e-05
8.442211055276382936e+00,3.484848484848485084e-01,9.409696144510144519e-05
8.542713567839196998e+00,3.585858585858586745e-01,9.270228063235572689e-05
8.643216080402011059e+00,3.686868686868687295e-01,9.136909128323427972e-05
8.743718592964825120e+00,3.787878787878788955e-01,9.009289987096008633e-05
8.844221105527639182e+00,3.888888888888889506e-01,8.886967077918964532e-05
8.944723618090453243e+00,3.989898989898991166e-01,8.769576668140426892e-05
9.045226130653267305e+00,4.090909090909091717e-01,8.656789827258844618e-05
9.145728643216081366e+00,4.191919191919192267e-01,8.548308166666508353e-05
9.246231155778895427e+00,4.292929292929293927e-01,8.443860210913417834e-05
9.346733668341709489e+00,4.393939393939394478e-01,8.343198291892232844e-05
