# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
1.005025125628140753e-01,-4.898989898989898895e-01,1.042895338055533165e-08
2.010050251256281506e-01,-4.797979797979797789e-01,6.438077303075170620e-09
3.015075376884422398e-01,-4.696969696969697239e-01,1.260841068244445936e-08
4.020100502512563012e-01,-4.595959595959596133e-01,1.181314644464803638e-08
5.025125628140704181e-01,-4.494949494949495028e-01,1.716288464875236350e-08
6.030150753768844796e-01,-4.393939393939393923e-01,1.873500021146600913e-08
7.035175879396985410e-01,-4.292929292929292817e-01,2.452802063736161376e-08
8.040201005025126024e-01,-4.191919191919191712e-01,2.849732100487364900e-08
9.045226130653266639e-01,-4.090909090909090606e-01,3.578374619740878047e-08
1.005025125628140836e+00,-3.989898989898990056e-01,4.268595832454735973e-08
1.105527638190954898e+00,-3.888888888888888951e-01,5.266661204596751830e-08
1.206030150753768959e+00,-3.787878787878787845e-01,6.354358723920270034e-08
1.306532663316583021e+00,-3.686868686868686740e-01,7.780925909676565796e-08
1.407035175879397082e+00,-3.585858585858585634e-01,9.434455117805891312e-08
1.507537688442211143e+00,-3.484848484848485084e-01,1.151423072905364317e-07
1.608040201005025205e+00,-3.383838383838383423e-01,1.399132946604076054e-07
1.708542713567839266e+00,-3.282828282828282873e-01,1.705041704389397630e-07
1.809045226130653328e+00,-3.181818181818181768e-01,2.073788750177366749e-07
1.909547738693467389e+00,-3.080808080808080662e-01,2.525485146828680932e-07
2.010050251256281673e+00,-2.979797979797979557e-01,3.072841813592649039e-07
2.110552763819095734e+00,-2.878787878787878451e-01,3.740863783134480628e-07
2.211055276381909795e+00,-2.777777777777777901e-01,4.552187768839261318e-07
2.311557788944723857e+00,-2.676767676767676241e-01,5.540641742895354225e-07
2.412060301507537918e+00,-2.575757575757575690e-01,6.742187710269221483e-07
2.512562814070351980e+00,-2.474747474747474585e-01,8.204684208884616729e-07
2.613065326633166041e+00,-2.373737373737373479e-01,9.982819229826908855e-07
2.713567839195980103e+00,-2.272727272727272374e-01,1.214570926352542921e-06
2.814070351758794164e+00,-2.171717171717171269e-01,1.477487753626339974e-06
2.914572864321608225e+00,-2.070707070707070718e-01,1.797089447552914374e-06
3.015075376884422287e+00,-1.969696969696969613e-01,2.185392076949912639e-06
3.115577889447236348e+00,-1.868686868686868507e-01,2.657033404072537125e-06
3.216080402010050410e+00,-1.767676767676767402e-01,3.229566764499171016e-06
3.316582914572864471e+00,-1.666666666666666297e-01,3.924198036969273906e-06
3.417085427135678533e+00,-1.565656565656565191e-01,4.766316964895532067e-06
3.517587939698492594e+00,-1.464646464646464086e-01,5.786359648675028866e-06
3.618090452261306655e+00,-1.363636363636363535e-01,7.020563121687231407e-06
3.718592964824120717e+00,-1.262626262626262430e-01,8.511952154161547674e-06
3.819095477386934778e+00,-1.161616161616161325e-01,1.031123776188188552e-05
3.919597989949748840e+00,-1.060606060606060219e-01,1.247780592877328994e-05
4.020100502512563345e+00,-9.595959595959591137e-02,1.508051133584117149e-05
4.120603015075377407e+00,-8.585858585858580083e-02,1.819828728806615025e-05
4.221105527638191468e+00,-7.575757575757574580e-02,2.192023201657722573e-05
4.321608040201005529e+00,-6.565656565656563526e-02,2.634497448234850042e-05
4.422110552763819591e+00,-5.555555555555552472e-02,3.157883373239020935e-05
4.522613065326633652e+00,-4.545454545454541417e-02,3.773232867327454764e-05
4.623115577889447714e+00,-3.535353535353530363e-02,4.491438105994850560e-05
4.723618090452261775e+00,-2.525252525252519309e-02,5.322362010350469990e-05
4.824120603015075837e+00,-1.515151515151513806e-02,6.273620859612766591e-05
4.924623115577889898e+00,-5.050505050505027516e-03,7.348998226228122476e-05
5.025125628140703959e+00,5.050505050505083027e-03,8.546527186321294057e-05
5.125628140703518021e+00,1.515151515151524908e-02,9.856385188894482797e-05
5.226130653266332082e+00,2.525252525252530411e-02,1.125888540445982663e-04
5.326633165829146144e+00,3.535353535353535914e-02,1.272301269192067387e-04
5.427135678391960205e+00,4.545454545454552520e-02,1.420608175559752353e-04
5.527638190954774267e+00,5.555555555555558023e-02,1.565511852887716297e-04
5.628140703517588328e+00,6.565656565656574628e-02,1.701038677183028985e-04
5.728643216080402389e+00,7.575757575757580131e-02,1.821105115916586605e-04
5.829145728643216451e+00,8.585858585858585634e-02,1.920232766354690226e-04
5.929648241206030512e+00,9.595959595959602240e-02,1.994281247852008920e-04
6.030150753768844574e+00,1.060606060606060774e-01,2.041029556486950573e-04
6.130653266331658635e+00,1.161616161616162435e-01,2.060452365007282318e-04
6.231155778894472697e+00,1.262626262626262985e-01,2.054613677134993965e-04
6.331658291457286758e+00,1.363636363636364646e-01,2.027211230254153209e-04
6.432160804020100819e+00,1.464646464646465196e-01,1.982904524201450490e-04
6.532663316582914881e+00,1.565656565656565746e-01,1.926605201197535428e-04
6.633165829145728942e+00,1.666666666666667407e-01,1.862887151807324281e-04
6.733668341708543004e+00,1.767676767676767957e-01,1.795605326163301314e-04
6.834170854271357065e+00,1.868686868686869618e-01,1.727734174315224611e-04
6.934673366834171127e+00,1.969696969696970168e-01,1.661380348929486115e-04
