# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
1.005025125628140805e-03,-4.898989898989898895e-01,1.042905420593472247e-08
2.010050251256281610e-03,-4.797979797979797789e-01,6.438166221695809616e-09
3.015075376884422415e-03,-4.696969696969697239e-01,1.260865580927791756e-08
4.020100502512563220e-03,-4.595959595959596133e-01,1.181344335968070764e-08
5.025125628140704459e-03,-4.494949494949495028e-01,1.716344339836679338e-08
6.030150753768844830e-03,-4.393939393939393923e-01,1.873576710537663430e-08
7.035175879396985202e-03,-4.292929292929292817e-01,2.452928076044318846e-08
8.040201005025126441e-03,-4.191919191919191712e-01,2.849913795866848498e-08
9.045226130653267679e-03,-4.090909090909090606e-01,3.578656963699858100e-08
1.005025125628140892e-02,-3.989898989898990056e-01,4.269010721666315792e-08
1.105527638190954842e-02,-3.888888888888888951e-01,5.267290269967420829e-08
1.206030150753768966e-02,-3.787878787878787845e-01,6.355289472790141540e-08
1.306532663316583090e-02,-3.686868686868686740e-01,7.782321205246856540e-08
1.407035175879397040e-02,-3.585858585858585634e-01,9.436524086645542135e-08
1.507537688442211164e-02,-3.484848484848485084e-01,1.151731538015720215e-07
1.608040201005025288e-02,-3.383838383838383423e-01,1.399590554410130546e-07
1.708542713567839239e-02,-3.282828282828282873e-01,1.705722067915152909e-07
1.809045226130653536e-02,-3.181818181818181768e-01,2.074797947183368486e-07
1.909547738693467486e-02,-3.080808080808080662e-01,2.526983390367328969e-07
2.010050251256281784e-02,-2.979797979797979557e-01,3.075063580670653713e-07
2.110552763819095734e-02,-2.878787878787878451e-01,3.744159436111784635e-07
2.211055276381909684e-02,-2.777777777777777901e-01,4.557073546344205101e-07
2.311557788944723982e-02,-2.676767676767676241e-01,5.547885289493676173e-07
2.412060301507537932e-02,-2.575757575757575690e-01,6.752923340788612589e-07
2.512562814070351883e-02,-2.474747474747474585e-01,8.220594756839228751e-07
2.613065326633166180e-02,-2.373737373737373479e-01,1.000639404435198118e-06
2.713567839195980130e-02,-2.272727272727272374e-01,1.218063687123317539e-06
2.814070351758794081e-02,-2.171717171717171269e-01,1.482661543991681560e-06
2.914572864321608378e-02,-2.070707070707070718e-01,1.804752215946173335e-06
3.015075376884422328e-02,-1.969696969696969613e-01,2.196738919837220823e-06
3.115577889447236626e-02,-1.868686868686868507e-01,2.673832087338674433e-06
3.216080402010050576e-02,-1.767676767676767402e-01,3.254430341319303865e-06
3.316582914572864527e-02,-1.666666666666666297e-01,3.960987622041171787e-06
3.417085427135678477e-02,-1.565656565656565191e-01,4.820733528254866214e-06
3.517587939698493121e-02,-1.464646464646464086e-01,5.866814771214771767e-06
3.618090452261307072e-02,-1.363636363636363535e-01,7.139455408556969928e-06
