# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
5.012531328320801727e-03,-4.949748743718592747e-01,1.850220216570441540e-11
1.002506265664160345e-02,-4.899497487437186050e-01,1.139971911847670114e-11
1.503759398496240518e-02,-4.849246231155778797e-01,1.400228073489273197e-11
2.005012531328320691e-02,-4.798994974874372099e-01,1.491930929181650567e-11
2.506265664160400863e-02,-4.748743718592964846e-01,1.800155089439758597e-11
3.007518796992481036e-02,-4.698492462311557594e-01,2.105306216333424476e-11
3.508771929824561209e-02,-4.648241206030150896e-01,2.543266591509274126e-11
4.010025062656641381e-02,-4.597989949748743643e-01,3.049233279236451426e-11
4.511278195488721554e-02,-4.547738693467336946e-01,3.692833144285367655e-11
5.012531328320801727e-02,-4.497487437185929693e-01,4.464351292963186079e-11
5.513784461152881899e-02,-4.447236180904522440e-01,5.416087137194435605e-11
6.015037593984962072e-02,-4.396984924623115742e-01,6.568657438204005561e-11
6.516290726817042245e-02,-4.346733668341708490e-01,7.977289579554901614e-11
7.017543859649122417e-02,-4.296482412060301792e-01,9.688277147774646947e-11
7.518796992481202590e-02,-4.246231155778894539e-01,1.177289024784089187e-10
8.020050125313282763e-02,-4.195979899497487287e-01,1.430722066425360351e-10
8.521303258145362935e-02,-4.145728643216080589e-01,1.739152513841490458e-10
9.022556390977443108e-02,-4.095477386934673336e-01,2.114219086431389958e-10
9.523809523809523281e-02,-4.045226130653266639e-01,2.570485287345158437e-10
1.002506265664160345e-01,-3.994974874371859386e-01,3.125365465066031962e-10
1.052631578947368363e-01,-3.944723618090452133e-01,3.800259405633887221e-10
1.102756892230576380e-01,-3.894472361809044880e-01,4.621030014417381312e-10
1.152882205513784397e-01,-3.844221105527638183e-01,5.619252158104436748e-10
1.203007518796992414e-01,-3.793969849246231485e-01,6.833235038151474981e-10
1.253132832080200432e-01,-3.743718592964824232e-01,8.309635878761321548e-10
1.303258145363408449e-01,-3.693467336683416979e-01,1.010514547729612620e-09
1.353383458646616466e-01,-3.643216080402009727e-01,1.228874562696280161e-09
1.403508771929824483e-01,-3.592964824120603029e-01,1.494429840756317175e-09
1.453634085213032501e-01,-3.542713567839196331e-01,1.817381279303042740e-09
1.503759398496240518e-01,-3.492462311557789079e-01,2.210132813443731979e-09
1.553884711779448535e-01,-3.442211055276381826e-01,2.687770466763672334e-09
1.604010025062656553e-01,-3.391959798994974573e-01,3.268639774764525178e-09
1.654135338345864570e-01,-3.341708542713567875e-01,3.975051922465521532e-09
1.704260651629072587e-01,-3.291457286432161178e-01,4.834139521819557413e-09
1.754385964912280604e-01,-3.241206030150753925e-01,5.878899556033499536e-09
1.804511278195488622e-01,-3.190954773869346672e-01,7.149460036449771843e-09
1.854636591478696639e-01,-3.140703517587939420e-01,8.694621651341470663e-09
1.904761904761904656e-01,-3.090452261306532722e-01,1.057373158099390388e-08
1.954887218045112673e-01,-3.040201005025125469e-01,1.285896297787064485e-08
2.005012531328320691e-01,-2.989949748743718771e-01,1.563808638149295070e-08
2.055137844611528708e-01,-2.939698492462311519e-01,1.901784042720687433e-08
2.105263157894736725e-01,-2.889447236180904266e-01,2.312803042417351312e-08
2.155388471177944743e-01,-2.839195979899497568e-01,2.812651265377800053e-08
2.205513784461152760e-01,-2.788944723618090316e-01,3.420525513916368781e-08
2.255639097744360777e-01,-2.738693467336683618e-01,4.159770767043457384e-08
2.305764411027568794e-01,-2.688442211055276365e-01,5.058776331252954470e-08
2.355889724310776812e-01,-2.638190954773869112e-01,6.152065506608612397e-08
2.406015037593984829e-01,-2.587939698492462415e-01,7.481620483048497930e-08
2.456140350877192846e-01,-2.537688442211055162e-01,9.098493194421095110e-08
2.506265664160400863e-01,-2.487437185929648464e-01,1.106476373328260913e-07
2.556390977443608881e-01,-2.437185929648241212e-01,1.345592117258591453e-07
