# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
1.005025125628140718e-02,-4.898989898989898895e-01,1.594211629592319412e-11
2.010050251256281437e-02,-4.797979797979797789e-01,1.405923384135295747e-11
3.015075376884421982e-02,-4.696969696969697239e-01,2.095384193754316951e-11
4.020100502512562873e-02,-4.595959595959596133e-01,2.923394021485645970e-11
5.025125628140703765e-02,-4.494949494949495028e-01,4.319900536931727109e-11
6.030150753768843963e-02,-4.393939393939393923e-01,6.329326882491527002e-11
7.035175879396984855e-02,-4.292929292929292817e-01,9.364687679476295262e-11
8.040201005025125747e-02,-4.191919191919191712e-01,1.383980450810486144e-10
9.045226130653266639e-02,-4.090909090909090606e-01,2.049581308870386607e-10
1.005025125628140753e-01,-3.989898989898990056e-01,3.034966711448874920e-10
1.105527638190954842e-01,-3.888888888888888951e-01,4.496362548730069680e-10
1.206030150753768793e-01,-3.787878787878787845e-01,6.661574665559099628e-10
1.306532663316583021e-01,-3.686868686868686740e-01,9.870784824444067208e-10
1.407035175879396971e-01,-3.585858585858585634e-01,1.462630669379539919e-09
1.507537688442211199e-01,-3.484848484848485084e-01,2.167380331700125445e-09
1.608040201005025149e-01,-3.383838383838383423e-01,3.211735134942889647e-09
1.708542713567839100e-01,-3.282828282828282873e-01,4.759372968937878661e-09
1.809045226130653328e-01,-3.181818181818181768e-01,7.052797192507819276e-09
1.909547738693467278e-01,-3.080808080808080662e-01,1.045140259713147962e-08
2.010050251256281506e-01,-2.979797979797979557e-01,1.548773846076392227e-08
2.110552763819095456e-01,-2.878787878787878451e-01,2.295098353217534180e-08
2.211055276381909684e-01,-2.777777777777777901e-01,3.401055548740695756e-08
2.311557788944723635e-01,-2.676767676767676241e-01,5.039931409340411744e-08
2.412060301507537585e-01,-2.575757575757575690e-01,7.468493937716361515e-08
2.512562814070351536e-01,-2.474747474747474585e-01,1.106719706833254704e-07
2.613065326633166041e-01,-2.373737373737373479e-01,1.639972408468452300e-07
2.713567839195979992e-01,-2.272727272727272374e-01,2.430115594545165503e-07
2.814070351758793942e-01,-2.171717171717171269e-01,3.600847137347224955e-07
2.914572864321607892e-01,-2.070707070707070718e-01,5.335359580335890390e-07
3.015075376884422398e-01,-1.969696969696969613e-01,7.904873428817151607e-07
3.115577889447236348e-01,-1.868686868686868507e-01,1.171075730043900815e-06
3.216080402010050299e-01,-1.767676767676767402e-01,1.734658783253657756e-06
3.316582914572864249e-01,-1.666666666666666297e-01,2.568933302112801471e-06
3.417085427135678199e-01,-1.565656565656565191e-01,3.803276500825616946e-06
3.517587939698492705e-01,-1.464646464646464086e-01,5.628143170307395094e-06
3.618090452261306655e-01,-1.363636363636363535e-01,8.322999003110784775e-06
3.718592964824120606e-01,-1.262626262626262430e-01,1.229596022078222709e-05
3.819095477386934556e-01,-1.161616161616161325e-01,1.813876807255591968e-05
3.919597989949749062e-01,-1.060606060606060219e-01,2.670025531600747347e-05
4.020100502512563012e-01,-9.595959595959591137e-02,3.917850571199670988e-05
4.120603015075376963e-01,-8.585858585858580083e-02,5.722338032921747160e-05
4.221105527638190913e-01,-7.575757575757574580e-02,8.302168185478234295e-05
4.321608040201004863e-01,-6.565656565656563526e-02,1.192999615719032624e-04
4.422110552763819369e-01,-5.555555555555552472e-02,1.691216049696932873e-04
4.522613065326633319e-01,-4.545454545454541417e-02,2.352934006557227356e-04
4.623115577889447270e-01,-3.535353535353530363e-02,3.192055898279281211e-04
4.723618090452261220e-01,-2.525252525252519309e-02,4.191585211812990600e-04
4.824120603015075170e-01,-1.515151515151513806e-02,5.288028862037149952e-04
4.924623115577889676e-01,-5.050505050505027516e-03,6.369903890621789969e-04
5.025125628140703071e-01,5.050505050505083027e-03,7.302021232709163690e-04
5.125628140703517577e-01,1.515151515151524908e-02,7.970494927406508853e-04
5.226130653266332082e-01,2.525252525252530411e-02,8.322637962133961828e-04
5.326633165829145478e-01,3.535353535353535914e-02,8.376344176364074147e-04
5.427135678391959983e-01,4.545454545454552520e-02,8.198183636341948482e-04
5.527638190954774489e-01,5.555555555555558023e-02,7.870482230766745815e-04
5.628140703517587884e-01,6.565656565656574628e-02,7.466550879206343546e-04
5.728643216080402389e-01,7.575757575757580131e-02,7.039994033716764129e-04
5.829145728643215785e-01,8.585858585858585634e-02,6.624416765097340242e-04
5.929648241206030290e-01,9.595959595959602240e-02,6.237804372869402677e-04
6.030150753768844796e-01,1.060606060606060774e-01,5.887675526924207158e-04
6.130653266331658191e-01,1.161616161616162435e-01,5.575304396398655113e-04
6.231155778894472697e-01,1.262626262626262985e-01,5.298648022308281077e-04
6.331658291457286092e-01,1.363636363636364646e-01,5.054172568519925586e-04
6.432160804020100597e-01,1.464646464646465196e-01,4.837900480067173093e-04
6.532663316582915103e-01,1.565656565656565746e-01,4.645960236004424097e-04
6.633165829145728498e-01,1.666666666666667407e-01,4.474840466034053798e-04
6.733668341708543004e-01,1.767676767676767957e-01,4.321478933493530647e-04
6.834170854271356399e-01,1.868686868686869618e-01,4.183265486460777398e-04
6.934673366834170904e-01,1.969696969696970168e-01,4.058004593908232853e-04
7.035175879396985410e-01,2.070707070707071829e-01,3.943862553398199138e-04
7.135678391959798805e-01,2.171717171717172379e-01,3.839312397991612755e-04
7.236180904522613311e-01,2.272727272727272929e-01,3.743082698242074734e-04
7.336683417085426706e-01,2.373737373737374590e-01,3.654112729352942133e-04
7.437185929648241212e-01,2.474747474747475140e-01,3.571514538269201589e-04
7.537688442211055717e-01,2.575757575757576801e-01,3.494541515081258883e-04
7.638190954773869112e-01,2.676767676767677351e-01,3.422562688537950050e-04
7.738693467336683618e-01,2.777777777777777901e-01,3.355041865313475292e-04
7.839195979899498123e-01,2.878787878787879562e-01,3.291520770515036685e-04
7.939698492462311519e-01,2.979797979797980112e-01,3.231605443555045907e-04
8.040201005025126024e-01,3.080808080808081773e-01,3.174955257290040540e-04
8.140703517587939420e-01,3.181818181818182323e-01,3.121274038996194673e-04
8.241206030150753925e-01,3.282828282828283983e-01,3.070302870359286284e-04
8.341708542713568431e-01,3.383838383838384534e-01,3.021814227443613259e-04
8.442211055276381826e-01,3.484848484848485084e-01,2.975607190690692525e-04
8.542713567839196331e-01,3.585858585858586745e-01,2.931503510917814041e-04
8.643216080402009727e-01,3.686868686868687295e-01,2.889344361962100337e-04
8.743718592964824232e-01,3.787878787878788955e-01,2.848987646030117188e-04
8.844221105527638738e-01,3.888888888888889506e-01,2.810305745727783374e-04
8.944723618090452133e-01,3.989898989898991166e-01,2.773183638691161836e-04
9.045226130653266639e-01,4.090909090909091717e-01,2.737517307962570885e-04
