# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
1.000500250125062595e-04,-4.989989989989990216e-01,1.118554209871056777e-10
2.001000500250125190e-04,-4.979979979979979876e-01,4.918812203940903168e-11
3.001500750375187920e-04,-4.969969969969970092e-01,5.198212409033650065e-11
4.002001000500250379e-04,-4.959959959959959752e-01,4.129675381039791463e-11
5.002501250625313381e-04,-4.949949949949949968e-01,4.207829869336257534e-11
6.003001500750375840e-04,-4.939939939939940183e-01,3.867787311329953190e-11
7.003501750875438300e-04,-4.929929929929929844e-01,3.918416302218971430e-11
8.004002001000500759e-04,-4.919919919919920059e-01,3.809952680950211561e-11
9.004502251125563218e-04,-4.909909909909909720e-01,3.868142707740027763e-11
1.000500250125062676e-03,-4.899899899899899935e-01,3.861046141316336882e-11
1.100550275137568814e-03,-4.889889889889890151e-01,3.935110389599147552e-11
1.200600300150075168e-03,-4.879879879879879812e-01,3.982725782540328531e-11
1.300650325162581306e-03,-4.869869869869870027e-01,4.074306256446059550e-11
1.400700350175087660e-03,-4.859859859859859688e-01,4.156898655157340394e-11
1.500750375187593797e-03,-4.849849849849849903e-01,4.265950362045842119e-11
1.600800400200100152e-03,-4.839839839839840119e-01,4.374349902887721707e-11
1.700850425212606506e-03,-4.829829829829829779e-01,4.500569710526870340e-11
1.800900450225112644e-03,-4.819819819819819995e-01,4.630341664382321366e-11
1.900950475237618998e-03,-4.809809809809809655e-01,4.773577779420499268e-11
2.001000500250125352e-03,-4.799799799799799871e-01,4.922644304362585703e-11
2.101050525262631273e-03,-4.789789789789790087e-01,5.083006708809048342e-11
2.201100550275137627e-03,-4.779779779779779747e-01,5.250561573083967191e-11
2.301150575287643982e-03,-4.769769769769769963e-01,5.428424751135521074e-11
2.401200600300150336e-03,-4.759759759759759623e-01,5.614417508449770715e-11
2.501250625312656690e-03,-4.749749749749749839e-01,5.810399086348477587e-11
2.601300650325162611e-03,-4.739739739739739499e-01,6.015264211085730499e-11
2.701350675337668965e-03,-4.729729729729729715e-01,6.230199052265487700e-11
2.801400700350175320e-03,-4.719719719719719930e-01,6.454713690028338467e-11
2.901450725362681674e-03,-4.709709709709709591e-01,6.689635716270377067e-11
3.001500750375187595e-03,-4.699699699699699806e-01,6.934839242493405507e-11
3.101550775387693949e-03,-4.689689689689689467e-01,7.190968708735132666e-11
3.201600800400200304e-03,-4.679679679679679682e-01,7.458123189698108112e-11
3.301650825412706658e-03,-4.669669669669669898e-01,7.736855322255292933e-11
3.401700850425213012e-03,-4.659659659659659559e-01,8.027415974460852399e-11
3.501750875437718933e-03,-4.649649649649649774e-01,8.330322788912070557e-11
3.601800900450225287e-03,-4.639639639639639435e-01,8.645932070961253988e-11
3.701850925462731642e-03,-4.629629629629629650e-01,8.974761463205681569e-11
3.801900950475237996e-03,-4.619619619619619311e-01,9.317244076615686169e-11
3.901950975487743917e-03,-4.609609609609609526e-01,9.673921640757526207e-11
4.002001000500250705e-03,-4.599599599599599742e-01,1.004529089255730077e-10
4.102051025512756625e-03,-4.589589589589589402e-01,1.043192628350137370e-10
4.202101050525262546e-03,-4.579579579579579618e-01,1.083438726752938862e-10
4.302151075537769334e-03,-4.569569569569569278e-01,1.125328738064339363e-10
4.402201100550275255e-03,-4.559559559559559494e-01,1.168924470355656841e-10
4.502251125562782043e-03,-4.549549549549549710e-01,1.214292185515111853e-10
4.602301150575287964e-03,-4.539539539539539370e-01,1.261499463397152256e-10
4.702351175587793884e-03,-4.529529529529529586e-01,1.310618110437573918e-10
4.802401200600300672e-03,-4.519519519519519246e-01,1.361721569168177138e-10
4.902451225612806593e-03,-4.509509509509509462e-01,1.414887554149221246e-10
5.002501250625313381e-03,-4.499499499499499677e-01,1.470195961402306620e-10
5.102551275637819302e-03,-4.489489489489489338e-01,1.527731186213048283e-10
5.202601300650325222e-03,-4.479479479479479553e-01,1.587579350857289275e-10
5.302651325662832010e-03,-4.469469469469469214e-01,1.649832167605557673e-10
5.402701350675337931e-03,-4.459459459459459429e-01,1.714583166612832647e-10
5.502751375687843852e-03,-4.449449449449449645e-01,1.781930968110554610e-10
5.602801400700350640e-03,-4.439439439439439306e-01,1.851977737204842313e-10
5.702851425712856560e-03,-4.429429429429429521e-01,1.924829502006272299e-10
5.802901450725363348e-03,-4.419419419419419182e-01,2.000597017124991361e-10
5.902951475737869269e-03,-4.409409409409409397e-01,2.079395445540939932e-10
6.003001500750375190e-03,-4.399399399399399613e-01,2.161344131368294145e-10
6.103051525762881978e-03,-4.389389389389389273e-01,2.246567690586136745e-10
6.203101550775387898e-03,-4.379379379379379489e-01,2.335195465673121763e-10
6.303151575787894687e-03,-4.369369369369369149e-01,2.427362207314143416e-10
6.403201600800400607e-03,-4.359359359359359365e-01,2.523207847164779982e-10
6.503251625812906528e-03,-4.349349349349349581e-01,2.622878179557962956e-10
6.603301650825413316e-03,-4.339339339339339241e-01,2.726524407032863241e-10
6.703351675837919237e-03,-4.329329329329329457e-01,2.834304140171340290e-10
6.803401700850426025e-03,-4.319319319319319117e-01,2.946381079468163157e-10
6.903451725862931945e-03,-4.309309309309309333e-01,3.062925606143456071e-10
7.003501750875437866e-03,-4.299299299299299548e-01,3.184114918484033304e-10
7.103551775887944654e-03,-4.289289289289289209e-01,3.310132895502063266e-10
7.203601800900450575e-03,-4.279279279279279424e-01,3.441171278559964821e-10
7.303651825912957363e-03,-4.269269269269269085e-01,3.577429216899291410e-10
7.403701850925463283e-03,-4.259259259259259300e-01,3.719113813006066894e-10
7.503751875937969204e-03,-4.249249249249249516e-01,3.866440213505011214e-10
7.603801900950475992e-03,-4.239239239239239176e-01,4.019632472654647936e-10
7.703851925962981913e-03,-4.229229229229229392e-01,4.178923370558867415e-10
7.803901950975487833e-03,-4.219219219219219053e-01,4.344554958532254882e-10
7.903951975987994621e-03,-4.209209209209209268e-01,4.516779013571205288e-10
8.004002001000501410e-03,-4.199199199199199484e-01,4.695857174695259718e-10
8.104052026013006463e-03,-4.189189189189189144e-01,4.882061897336439115e-10
8.204102051025513251e-03,-4.179179179179179360e-01,5.075675817079686393e-10
8.304152076038020039e-03,-4.169169169169169020e-01,5.276993431205985255e-10
8.404202101050525092e-03,-4.159159159159159236e-01,5.486320416985688441e-10
8.504252126063031880e-03,-4.149149149149149451e-01,5.703975404115860648e-10
8.604302151075538668e-03,-4.139139139139139112e-01,5.930288474965604311e-10
8.704352176088043722e-03,-4.129129129129129328e-01,6.165604345873845912e-10
8.804402201100550510e-03,-4.119119119119118988e-01,6.410279867558222963e-10
8.904452226113057298e-03,-4.109109109109109204e-01,6.664687524542645124e-10
9.004502251125564086e-03,-4.099099099099099419e-01,6.929213435484403171e-10
9.104552276138069139e-03,-4.089089089089089080e-01,7.204259989106614803e-10
9.204602301150575927e-03,-4.079079079079078740e-01,7.490244889808899197e-10
9.304652326163082715e-03,-4.069069069069068956e-01,7.787603020998929035e-10
9.404702351175587768e-03,-4.059059059059059171e-01,8.096785990621324970e-10
9.504752376188094556e-03,-4.049049049049049387e-01,8.418263903594987166e-10
9.604802401200601344e-03,-4.039039039039039047e-01,8.752524907341990799e-10
9.704852426213106398e-03,-4.029029029029028708e-01,9.100077645931589858e-10
9.804902451225613186e-03,-4.019019019019018923e-01,9.461449396748655813e-10
9.904952476238119974e-03,-4.009009009009009139e-01,9.837190115286580258e-10
1.000500250125062676e-02,-3.998998998998999355e-01,1.022787020823882129e-09
1.010505252626313182e-02,-3.988988988988989015e-01,1.063408371479669705e-09
1.020510255127563860e-02,-3.978978978978978676e-01,1.105644776128404628e-09
1.030515257628814539e-02,-3.968968968968968891e-01,1.149560424270034244e-09
1.040520260130065044e-02,-3.958958958958959107e-01,1.195222041353314966e-09
1.050525262631315723e-02,-3.948948948948948767e-01,1.242699020572433631e-09
1.060530265132566402e-02,-3.938938938938938983e-01,1.292063509216520275e-09
1.070535267633816907e-02,-3.928928928928928643e-01,1.343390504108581085e-09
1.080540270135067586e-02,-3.918918918918918859e-01,1.396758028849231456e-09
1.090545272636318265e-02,-3.908908908908909074e-01,1.452247147450831129e-09
1.100550275137568770e-02,-3.898898898898898735e-01,1.509942200662461798e-09
1.110555277638819449e-02,-3.888888888888888951e-01,1.569930851417038390e-09
1.120560280140070128e-02,-3.878878878878878611e-01,1.632304262075042736e-09
1.130565282641320807e-02,-3.868868868868868827e-01,1.697157198952880228e-09
1.140570285142571312e-02,-3.858858858858859042e-01,1.764588218656035544e-09
1.150575287643821991e-02,-3.848848848848848703e-01,1.834699772607428689e-09
1.160580290145072670e-02,-3.838838838838838918e-01,1.907598416104125624e-09
1.170585292646323175e-02,-3.828828828828828579e-01,1.983394894666852700e-09
