# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
1.000500250125062503e-02,-4.989989989989990216e-01,1.118554164423945662e-11
2.001000500250125005e-02,-4.979979979979979876e-01,4.918811749469791687e-12
3.001500750375187682e-02,-4.969969969969970092e-01,5.198212409033650873e-12
4.002001000500250011e-02,-4.959959959959959752e-01,4.129674926568680306e-12
5.002501250625312340e-02,-4.949949949949949968e-01,4.207828505922920346e-12
6.003001500750375363e-02,-4.939939939939940183e-01,3.867787765801065316e-12
7.003501750875437692e-02,-4.929929929929929844e-01,3.918416302218972238e-12
8.004002001000500022e-02,-4.919919919919920059e-01,3.809953135421324334e-12
9.004502251125562351e-02,-4.909909909909909720e-01,3.868141798797803187e-12
1.000500250125062468e-01,-4.899899899899899935e-01,3.861045686845225078e-12
1.100550275137568701e-01,-4.889889889889890151e-01,3.935110844070260325e-12
1.200600300150075073e-01,-4.879879879879879812e-01,3.982724873598103955e-12
1.300650325162581167e-01,-4.869869869869870027e-01,4.074306710917172484e-12
1.400700350175087538e-01,-4.859859859859859688e-01,4.156897746215115657e-12
1.500750375187593633e-01,-4.849849849849849903e-01,4.265951725459179953e-12
1.600800400200100004e-01,-4.839839839839840119e-01,4.374349448416609419e-12
1.700850425212606376e-01,-4.829829829829829779e-01,4.500569256055757405e-12
1.800900450225112470e-01,-4.819819819819819995e-01,4.630341209911208755e-12
1.900950475237618842e-01,-4.809809809809809655e-01,4.773578233891612525e-12
2.001000500250124936e-01,-4.799799799799799871e-01,4.922643849891473253e-12
2.101050525262631308e-01,-4.789789789789790087e-01,5.083007163280161923e-12
2.201100550275137402e-01,-4.779779779779779747e-01,5.250561573083967676e-12
2.301150575287643774e-01,-4.769769769769769963e-01,5.428424751135522205e-12
2.401200600300150145e-01,-4.759759759759759623e-01,5.614417962920884134e-12
2.501250625312656517e-01,-4.749749749749749839e-01,5.810398631877365783e-12
2.601300650325162334e-01,-4.739739739739739499e-01,6.015264211085731145e-12
2.701350675337668705e-01,-4.729729729729729715e-01,6.230198597794376866e-12
2.801400700350175077e-01,-4.719719719719719930e-01,6.454713235557226502e-12
2.901450725362681449e-01,-4.709709709709709591e-01,6.689636170741491616e-12
3.001500750375187265e-01,-4.699699699699699806e-01,6.934839696964519572e-12
3.101550775387693637e-01,-4.689689689689689467e-01,7.190968254264020539e-12
3.201600800400200009e-01,-4.679679679679679682e-01,7.458123189698110050e-12
3.301650825412706380e-01,-4.669669669669669898e-01,7.736856231197517509e-12
3.401700850425212752e-01,-4.659659659659659559e-01,8.027414611047514727e-12
3.501750875437718569e-01,-4.649649649649649774e-01,8.330324152325409844e-12
3.601800900450224940e-01,-4.639639639639639435e-01,8.645931162019030381e-12
3.701850925462731312e-01,-4.629629629629629650e-01,8.974761008734567827e-12
3.801900950475237684e-01,-4.619619619619619311e-01,9.317244531086800234e-12
3.901950975487743500e-01,-4.609609609609609526e-01,9.673922095228640919e-12
4.002001000500249872e-01,-4.599599599599599742e-01,1.004529043808618929e-11
4.102051025512756244e-01,-4.589589589589589402e-01,1.043192673797248744e-11
4.202101050525262615e-01,-4.579579579579579618e-01,1.083438681305827585e-11
4.302151075537768987e-01,-4.569569569569569278e-01,1.125328783511450963e-11
4.402201100550274804e-01,-4.559559559559559494e-01,1.168924470355656873e-11
4.502251125562781175e-01,-4.549549549549549710e-01,1.214292185515111982e-11
4.602301150575287547e-01,-4.539539539539539370e-01,1.261499508844263921e-11
4.702351175587793919e-01,-4.529529529529529586e-01,1.310618064990462802e-11
4.802401200600300291e-01,-4.519519519519519246e-01,1.361721614615288577e-11
4.902451225612806107e-01,-4.509509509509509462e-01,1.414887554149221601e-11
5.002501250625313034e-01,-4.499499499499499677e-01,1.470196006849418221e-11
5.102551275637818851e-01,-4.489489489489489338e-01,1.527731095318825923e-11
5.202601300650324667e-01,-4.479479479479479553e-01,1.587579396304400617e-11
5.302651325662831594e-01,-4.469469469469469214e-01,1.649832122158446848e-11
5.402701350675337411e-01,-4.459459459459459429e-01,1.714583212059944506e-11
5.502751375687843227e-01,-4.449449449449449645e-01,1.781931013557666211e-11
5.602801400700350154e-01,-4.439439439439439306e-01,1.851977646310620146e-11
5.702851425712855971e-01,-4.429429429429429521e-01,1.924829547453383899e-11
5.802901450725362897e-01,-4.419419419419419182e-01,2.000597108019214045e-11
5.902951475737868714e-01,-4.409409409409409397e-01,2.079395400093828914e-11
6.003001500750374531e-01,-4.399399399399399613e-01,2.161344176815405681e-11
6.103051525762881457e-01,-4.389389389389389273e-01,2.246567645139025920e-11
6.203101550775387274e-01,-4.379379379379379489e-01,2.335195420226010873e-11
6.303151575787894201e-01,-4.369369369369369149e-01,2.427362298208366359e-11
6.403201600800400017e-01,-4.359359359359359365e-01,2.523207983506114396e-11
6.503251625812905834e-01,-4.349349349349349581e-01,2.622878134110852131e-11
6.603301650825412761e-01,-4.339339339339339241e-01,2.726524452479974519e-11
6.703351675837918577e-01,-4.329329329329329457e-01,2.834304094724229465e-11
6.803401700850425504e-01,-4.319319319319319117e-01,2.946381170362385970e-11
6.903451725862931321e-01,-4.309309309309309333e-01,3.062925697037679401e-11
7.003501750875437137e-01,-4.299299299299299548e-01,3.184114873036922285e-11
7.103551775887944064e-01,-4.289289289289289209e-01,3.310132850054952118e-11
7.203601800900449881e-01,-4.279279279279279424e-01,3.441171369454187893e-11
7.303651825912956808e-01,-4.269269269269269085e-01,3.577429262346403075e-11
7.403701850925462624e-01,-4.259259259259259300e-01,3.719113722111845115e-11
7.503751875937968441e-01,-4.249249249249249516e-01,3.866440258952122491e-11
7.603801900950475368e-01,-4.239239239239239176e-01,4.019632518101759989e-11
7.703851925962981184e-01,-4.229229229229229392e-01,4.178923325111756655e-11
7.803901950975487001e-01,-4.219219219219219053e-01,4.344554913085144122e-11
7.903951975987993928e-01,-4.209209209209209268e-01,4.516779013571206063e-11
8.004002001000499744e-01,-4.199199199199199484e-01,4.695857220142372159e-11
8.104052026013006671e-01,-4.189189189189189144e-01,4.882061897336439761e-11
8.204102051025512488e-01,-4.179179179179179360e-01,5.075675862526798058e-11
8.304152076038018304e-01,-4.169169169169169020e-01,5.276993385758874366e-11
8.404202101050525231e-01,-4.159159159159159236e-01,5.486320598774133938e-11
8.504252126063031048e-01,-4.149149149149149451e-01,5.703975313221638481e-11
8.604302151075537974e-01,-4.139139139139139112e-01,5.930288611306937626e-11
8.704352176088043791e-01,-4.129129129129129328e-01,6.165604209532513372e-11
8.804402201100549608e-01,-4.119119119119118988e-01,6.410279913005336566e-11
8.904452226113056534e-01,-4.109109109109109204e-01,6.664687433648425413e-11
9.004502251125562351e-01,-4.099099099099099419e-01,6.929213480931514448e-11
9.104552276138069278e-01,-4.089089089089089080e-01,7.204259943659505076e-11
9.204602301150575094e-01,-4.079079079079078740e-01,7.490244935256011250e-11
9.304652326163080911e-01,-4.069069069069068956e-01,7.787602975551819051e-11
9.404702351175587838e-01,-4.059059059059059171e-01,8.096786081515547267e-11
9.504752376188093654e-01,-4.049049049049049387e-01,8.418263812700764870e-11
9.604802401200600581e-01,-4.039039039039039047e-01,8.752525043683325923e-11
9.704852426213106398e-01,-4.029029029029028708e-01,9.100077509590258094e-11
9.804902451225612214e-01,-4.019019019019018923e-01,9.461449487642879401e-11
9.904952476238119141e-01,-4.009009009009009139e-01,9.837190069839470790e-11
1.000500250125062607e+00,-3.998998998998999355e-01,1.022787025368593412e-10
1.010505252626313188e+00,-3.988988988988989015e-01,1.063408385113803192e-10
1.020510255127563770e+00,-3.978978978978978676e-01,1.105644767038982502e-10
1.030515257628814352e+00,-3.968968968968968891e-01,1.149560424270034399e-10
1.040520260130064933e+00,-3.958958958958959107e-01,1.195222041353315017e-10
1.050525262631315737e+00,-3.948948948948948767e-01,1.242699016027722659e-10
1.060530265132566319e+00,-3.938938938938938983e-01,1.292063504671809457e-10
1.070535267633816900e+00,-3.928928928928928643e-01,1.343390513198003289e-10
1.080540270135067482e+00,-3.918918918918918859e-01,1.396758028849231663e-10
1.090545272636318064e+00,-3.908908908908909074e-01,1.452247151995542256e-10
1.100550275137568645e+00,-3.898898898898898735e-01,1.509942196117751032e-10
1.110555277638819449e+00,-3.888888888888888951e-01,1.569930865051171980e-10
