# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
5.012531328320801944e-04,-4.949748743718592747e-01,5.850910057252607918e-11
1.002506265664160389e-03,-4.899497487437186050e-01,3.604907506809663909e-11
1.503759398496240692e-03,-4.849246231155778797e-01,4.427909955935736432e-11
2.005012531328320777e-03,-4.798994974874372099e-01,4.717900051111045764e-11
2.506265664160400863e-03,-4.748743718592964846e-01,5.692590224173759224e-11
3.007518796992481383e-03,-4.698492462311557594e-01,6.657562815724804336e-11
3.508771929824561469e-03,-4.648241206030150896e-01,8.042515329428015345e-11
4.010025062656641555e-03,-4.597989949748743643e-01,9.642522482817059836e-11
4.511278195488722075e-03,-4.547738693467336946e-01,1.167776395814863058e-10
5.012531328320801727e-03,-4.497487437185929693e-01,1.411751775114431863e-10
5.513784461152882246e-03,-4.447236180904522440e-01,1.712717115622961379e-10
6.015037593984962766e-03,-4.396984924623115742e-01,2.077191867413138266e-10
6.516290726817042418e-03,-4.346733668341708490e-01,2.522640462612046504e-10
7.017543859649122938e-03,-4.296482412060301792e-01,3.063702259317324857e-10
7.518796992481202590e-03,-4.246231155778894539e-01,3.722914782636142425e-10
8.020050125313283110e-03,-4.195979899497487287e-01,4.524340408242290393e-10
8.521303258145363629e-03,-4.145728643216080589e-01,5.499683142146623753e-10
9.022556390977444149e-03,-4.095477386934673336e-01,6.685747785723584258e-10
9.523809523809522934e-03,-4.045226130653266639e-01,8.128588199963091609e-10
1.002506265664160345e-02,-3.994974874371859386e-01,9.883273349390937160e-10
1.052631578947368397e-02,-3.944723618090452133e-01,1.201747540095623850e-09
1.102756892230576449e-02,-3.894472361809044880e-01,1.461298002220878091e-09
1.152882205513784501e-02,-3.844221105527638183e-01,1.776963556642661427e-09
1.203007518796992553e-02,-3.793969849246231485e-01,2.160858650782622776e-09
1.253132832080200432e-02,-3.743718592964824232e-01,2.627737592386512933e-09
1.303258145363408484e-02,-3.693467336683416979e-01,3.195527577528050977e-09
1.353383458646616536e-02,-3.643216080402009727e-01,3.886042570666263404e-09
1.403508771929824588e-02,-3.592964824120603029e-01,4.725802102145145892e-09
1.453634085213032640e-02,-3.542713567839196331e-01,5.747064211418414306e-09
1.503759398496240518e-02,-3.492462311557789079e-01,6.989053626023114771e-09
1.553884711779448570e-02,-3.442211055276381826e-01,8.499476502707097673e-09
1.604010025062656622e-02,-3.391959798994974573e-01,1.033634653684320382e-08
1.654135338345864500e-02,-3.341708542713567875e-01,1.257021789648699971e-08
1.704260651629072726e-02,-3.291457286432161178e-01,1.528689141395458156e-08
1.754385964912280604e-02,-3.241206030150753925e-01,1.859071273445099742e-08
1.804511278195488830e-02,-3.190954773869346672e-01,2.260857775553172176e-08
1.854636591478696708e-02,-3.140703517587939420e-01,2.749480780758852249e-08
1.904761904761904587e-02,-3.090452261306532722e-01,3.343707516522635380e-08
1.954887218045112812e-02,-3.040201005025125469e-01,4.066361135582013582e-08
2.005012531328320691e-02,-2.989949748743718771e-01,4.945197121197853063e-08
2.055137844611528916e-02,-2.939698492462311519e-01,6.013969192963582390e-08
2.105263157894736795e-02,-2.889447236180904266e-01,7.313725393609096372e-08
2.155388471177944673e-02,-2.839195979899497568e-01,8.894384261942047862e-08
2.205513784461152899e-02,-2.788944723618090316e-01,1.081665141910018820e-07
2.255639097744360777e-02,-2.738693467336683618e-01,1.315435016763651717e-07
2.305764411027569002e-02,-2.688442211055276365e-01,1.599725538010977076e-07
2.355889724310776881e-02,-2.638190954773869112e-01,1.945453931544087550e-07
2.406015037593985106e-02,-2.587939698492462415e-01,2.365896131580891460e-07
2.456140350877192985e-02,-2.537688442211055162e-01,2.877196176970861707e-07
2.506265664160400863e-02,-2.487437185929648464e-01,3.498985516859762112e-07
2.556390977443609089e-02,-2.437185929648241212e-01,4.255135892044540591e-07
2.606516290726816967e-02,-2.386934673366833959e-01,5.174674530649882980e-07
2.656641604010025193e-02,-2.336683417085427261e-01,6.292896544857863202e-07
2.706766917293233071e-02,-2.286432160804020008e-01,7.652716863460957541e-07
2.756892230576440950e-02,-2.236180904522612756e-01,9.306313047652963670e-07
2.807017543859649175e-02,-2.185929648241206058e-01,1.131712123184624952e-06
2.857142857142857054e-02,-2.135678391959798805e-01,1.376226058672463616e-06
2.907268170426065279e-02,-2.085427135678392108e-01,1.673547755282961795e-06
2.957393483709273158e-02,-2.035175879396984855e-01,2.035072016374150049e-06
3.007518796992481036e-02,-1.984924623115577602e-01,2.474647565768752758e-06
3.057644110275689261e-02,-1.934673366834170904e-01,3.009103193975844802e-06
3.107769423558897140e-02,-1.884422110552763652e-01,3.658885606426672424e-06
3.157894736842105365e-02,-1.834170854271356954e-01,4.448832155601486079e-06
3.208020050125313244e-02,-1.783919597989949701e-01,5.409106193444057375e-06
3.258145363408521122e-02,-1.733668341708542449e-01,6.576328102517262391e-06
3.308270676691729001e-02,-1.683417085427135751e-01,7.994941220601153173e-06
3.358395989974937573e-02,-1.633165829145728498e-01,9.718858894757507065e-06
3.408521303258145452e-02,-1.582914572864321801e-01,1.181344675924412860e-05
3.458646616541353330e-02,-1.532663316582914548e-01,1.435790289470879708e-05
3.508771929824561209e-02,-1.482412060301507295e-01,1.744810749125875251e-05
3.558897243107769087e-02,-1.432160804020100597e-01,2.120002243943309056e-05
3.609022556390977660e-02,-1.381909547738693345e-01,2.575372893850525871e-05
