# # Data simulated with Soft Potato 2.0, for more information visit https://oliverrdz.xyz/soft-potato
# # t/s, E/V, i/A
0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00
5.012531328320801727e-01,-4.949748743718592747e-01,1.850220216570441782e-12
1.002506265664160345e+00,-4.899497487437186050e-01,1.139971911847670275e-12
1.503759398496240518e+00,-4.849246231155778797e-01,1.400228073489273439e-12
2.005012531328320691e+00,-4.798994974874372099e-01,1.491930929181650648e-12
2.506265664160400863e+00,-4.748743718592964846e-01,1.800155089439758597e-12
3.007518796992481036e+00,-4.698492462311557594e-01,2.105306216333424638e-12
3.508771929824561209e+00,-4.648241206030150896e-01,2.543266527237353052e-12
4.010025062656641381e+00,-4.597989949748743643e-01,3.049233279236451345e-12
4.511278195488721110e+00,-4.547738693467336946e-01,3.692833272829209481e-12
5.012531328320801727e+00,-4.497487437185929693e-01,4.464351100147422613e-12
5.513784461152882344e+00,-4.447236180904522440e-01,5.416087201466356761e-12
6.015037593984962072e+00,-4.396984924623115742e-01,6.568657309660163412e-12
6.516290726817041801e+00,-4.346733668341708490e-01,7.977289708098743279e-12
7.017543859649122417e+00,-4.296482412060301792e-01,9.688277019230806898e-12
7.518796992481203034e+00,-4.246231155778894539e-01,1.177289018356897281e-11
8.020050125313282763e+00,-4.195979899497487287e-01,1.430722072852552547e-11
8.521303258145362491e+00,-4.145728643216080589e-01,1.739152507414298908e-11
9.022556390977442220e+00,-4.095477386934673336e-01,2.114219092858582284e-11
9.523809523809523725e+00,-4.045226130653266639e-01,2.570485287345158889e-11
1.002506265664160345e+01,-3.994974874371859386e-01,3.125365465066031962e-11
1.052631578947368318e+01,-3.944723618090452133e-01,3.800259392779503216e-11
1.102756892230576469e+01,-3.894472361809044880e-01,4.621030020844574026e-11
1.152882205513784442e+01,-3.844221105527638183e-01,5.619252158104437136e-11
1.203007518796992414e+01,-3.793969849246231485e-01,6.833235031724281363e-11
1.253132832080200387e+01,-3.743718592964824232e-01,8.309635885188514390e-11
1.303258145363408360e+01,-3.693467336683416979e-01,1.010514547729612775e-10
1.353383458646616511e+01,-3.643216080402009727e-01,1.228874562053560980e-10
1.403508771929824483e+01,-3.592964824120603029e-01,1.494429841399036097e-10
1.453634085213032456e+01,-3.542713567839196331e-01,1.817381276732165759e-10
1.503759398496240607e+01,-3.492462311557789079e-01,2.210132814729170651e-10
1.553884711779448580e+01,-3.442211055276381826e-01,2.687770466120952895e-10
1.604010025062656553e+01,-3.391959798994974573e-01,3.268639774121805945e-10
1.654135338345864525e+01,-3.341708542713567875e-01,3.975051923108240971e-10
1.704260651629072498e+01,-3.291457286432161178e-01,4.834139522462276749e-10
1.754385964912280471e+01,-3.241206030150753925e-01,5.878899555390780820e-10
1.804511278195488444e+01,-3.190954773869346672e-01,7.149460037092490559e-10
1.854636591478696772e+01,-3.140703517587939420e-01,8.694621650698751948e-10
1.904761904761904745e+01,-3.090452261306532722e-01,1.057373158163662405e-09
1.954887218045112718e+01,-3.040201005025125469e-01,1.285896297594248725e-09
2.005012531328320691e+01,-2.989949748743718771e-01,1.563808638277839269e-09
2.055137844611528664e+01,-2.939698492462311519e-01,1.901784042849231300e-09
2.105263157894736636e+01,-2.889447236180904266e-01,2.312803042610167196e-09
2.155388471177944609e+01,-2.839195979899497568e-01,2.812651265184984418e-09
2.205513784461152937e+01,-2.788944723618090316e-01,3.420525513980640880e-09
2.255639097744360910e+01,-2.738693467336683618e-01,4.159770766979185947e-09
2.305764411027568883e+01,-2.688442211055276365e-01,5.058776331252954635e-09
2.355889724310776856e+01,-2.638190954773869112e-01,6.152065506672883835e-09
2.406015037593984829e+01,-2.587939698492462415e-01,7.481620483048498592e-09
2.456140350877192802e+01,-2.537688442211055162e-01,9.098493194485368698e-09
2.506265664160400775e+01,-2.487437185929648464e-01,1.106476373334688238e-08
2.556390977443608747e+01,-2.437185929648241212e-01,1.345592117252164359e-08
2.606516290726816720e+01,-2.386934673366833959e-01,1.636375766704496625e-08
